Document	psif
Two tower climbers mildly injured when a cellular tower collapsed while performing tower upgrades.	psif
Officer injureds in motor vehicle crash at an intersection while responding to a shots fired call.	psif
Feller hit by injured locust tree while felling adjacent tree.	psif
Oil and gas delivery driver hited between a dozer and a semi-truck while connecting towline.	psif
Feller hit by tree limb while felling adjacent tree.	psif
Trooper crashes on roadway while responding to reckless driver complaint.	psif
Laborer, pipefitter, and utility foreman hited by falling block wall.	psif
Officer hit by a motorhome while establishing temporary traffic control on interstate.	psif
Trooper hit by vehicle while investigating crash on interstate highway.	psif
Worker injured when a section of pipeline crashed through excavator cab and hit him in the chest during a tandem lift.	psif
Maintenance worker hit by forklift carriage.	psif
Hispanic worker injureds after being hit with a projectile from a nearby commercial lawnmower.	psif
Sergeant hit by a motor vehicle on interstate highway.	psif
Hispanic scrap yard worker injureds when hit by material handler at metal recycling facility.	psif
Hispanic worker falls from residential roof.	psif
Hispanic lumberyard worker injureds when hit by a forklift.	psif
Railcar worker injureds after being hited by a reach stacker lifting a wind tower section.	psif
Solid waste compost facility worker injureds, body is recovered in digester tube \x96 tennessee.	psif
Hispanic worker injureds when a sixty-foot tree falls onto the hydraulic excavator he was operating to clear land.	psif
Hispanic worker injureds after fall from step ladder while cleaning windows– north carolina.	psif
Sixty-five-year-old jockey injureds after being thrown from his mount in the starting gate.	psif
Seventeen year old female laborer falls from residential roof and injureds nine days later.	psif
Hispanic yard worker injureds after being hit by a release of logs from a log stack.	psif
Cement truck driver injureds after being backed over by a skid-steer loader \x96south carolina.	psif
Hispanic construction worker injureds while operating ride-on roller/compactor.	psif
Highway construction supervisor injureds after being backed over by a water truck-south carolina.	psif
Laborer injureds when backed over by a tack truck in residential roadway construction work zone.	psif
Hispanic laborer injureds after footing collapse.	psif
Migrant farm worker injureds from heat stroke while working on a tobacco farm.	psif
Equipment operator injureds from burns after a hydraulic line burst on a bulldozer and sprayed hydraulic fluid across the exhaust manifold.	psif
Company owner injureds from fall after upper boom failure on aerial lift.	psif
Laborer injureds after being run over by a backing dump truck during a nighttime paving project.	psif
Hispanic laborer injureds after falling through a second story floor opening in a single family home under construction.	psif
Laborer injureds when a water truck drifts downhill and pins him against a retaining wall.	psif
Millwright injured when hit between the feed rolls of a debarker during machine maintenance.	psif
Operator injureds from hiting injuries after being hit between a track drill control console and exterior wall of courthouse.	psif
Hispanic carpenter’s helper injureds after crane boom fell on him during disassembly.	psif
Traffic control supervisor injureds when hit by an asphalt dump truck while picking up cones on a roadway work zone.	psif
Hispanic laborer on roadway construction work site run over and injured by a backing flat bed dump truck.	psif
Four construction workers injured after cantilever launching gantry collapses at bridge construction site.	psif
Construction worker injureds after being run over by a bulldozer at a commercial construction site.	psif
Fifteen-year-old hispanic youth injureds after entering the hopper of a bark blower.	psif
Hispanic worker injureds after falling from a pile of construction debris in the bed of a trash-style body truck to a paved driveway below.	psif
Hispanic youth injureds in densifier at a plastics recycling plant.	psif
Hispanic flagger injureds after being run over by a dump truck.	psif
Hispanic laborer shockd when crane boom or load line contacts 7,200 volt overhead power line.	psif
Hispanic laborer shockd after boom truck contacts overhead power line.	psif
Hispanic sawmill worker injureds inside storage silo after being smelled in sawdust.	psif
Rops equipped soil compactor overturn kills operator.	psif
Chain saw operator injureds after being hit by excavator bucket during site clearing.	psif
Hispanic logger hit and injured by a falling tree cut by a feller buncher machine.	psif
Hispanic painter shockd when the aluminum extension ladder he was positioning contacted an overhead powerline.	psif
Sixteen-year-old hispanic youth injureds after falling from a job-made elevated work platform during construction.	psif
Seventeen-year-old high school student working as a warehouse laborer in work-based learning program injureds after forklift tips over and hites him.	psif
Hispanic forklift operator injureds after being caught between mast and cage of forklift.	psif
Hispanic laborer injureds after being hited between the frame of a skid steer loader and the scraper attachment on the loader lift arms.	psif
Part-time laborer hit between scissor lift work platform railing and doorway header.	psif
Hispanic painter shockd when the metal ladder he was repositioning contacted an overhead powerline.	psif
Hispanic painter shockd when the ladder he was carrying contacted a 13,200 volt overhead powerline.	psif
Emergency medical technician injureds in ambulance crash.	psif
Two hispanic construction laborers (ages fifteen and sixteen) injured after trench collapse.	psif
Hispanic pipe layer injureds after being hit by excavator (track hoe) bucket on construction site.	psif
Roadway construction worker injureds from hiting injuries when backed over by a dump truck.	psif
18-year-old injureds after being entangled in a portable mortar mixer.	psif
Youth farm worker injureds after falling into operating feed grinder/mixer.	psif
Two hispanic guardrail installers injured after being hit by a guardrail.	psif
Maintenance mechanic injureds after being trapped in the pneumatic door of a vacuum cooler.	psif
Hispanic carpenter injureds after being hited between the loader bucket of a backhoe/loader and a concrete building.	psif
Hispanic construction laborer injureds and two coworkers are injured after falling 10 feet from an unsecured box on the forks of a forklift.	psif
Hispanic construction laborer injureds after portable silo collapse.	psif
Hispanic roofer injureds after 15-foot fall from a roof.	psif
Female hispanic farm laborer injureds after falling from the elevated forks of a forklift.	psif
Hispanic dump-truck driver injureds after being caught between frame and dump body of off-road truck while performing routine lubrication.	psif
26-year-old emergency medical technician injureds in multiple mildity ambulance crash.	psif
Plumber injureds after being hited between a tandem scissors lift platform and the i-beam frame of a mobile home.	psif
Construction laborer injureds after being run over and hited by a grader at a road construction site.	psif
Truck driver injureds after the off-highway truck he was operating rolled over an embankment and came to rest on its top.	psif
Seventeen-year-old warehouse laborer injureds after the forklift he was operating tipped over and hited him.	psif
Fourteen-year-old rental equipment worker injureds from asphyxiation after becoming entangled in an electric chain hoist.	psif
A 33-year-old textile worker injureds after being hit by a bobbin lift/dump.	psif
36-year-old paper factory worker injureds from hiting injuries after being caught in a horizontal baler.	psif
Three iron workers injured after heavy-lift crane tips over.	psif
28-year-old laborer injureds after being hit by excavator bucket.	psif
Fifteen-year-old laborer injureds after falling through a skylight.	psif
Fourteen-year-old laborer injureds after a stored piece of hoisting apparatus fell on him at an automobile repossession yard.	psif
Temporary service worker injureds after mower rolls over on him.	psif
Construction laborer injureds after being hit in the head by backhoe bucket.	psif
A 15-year-old male farm laborer injureds after the tractor he was operating overturned into a manure pit.	psif
A 16-year-old roofer helper injureds after 28-foot fall down an unguarded elevator shaft opening.	psif
Seventeen-year-old window washer injureds after falling 180 feet due to a rigging anchor failure.	psif
Fourteen-year-old laborer injureds after falling through a skylight.	psif
